-------------------------当前TTI1----------------------------------
Id 距离     平均吞吐量     总比特数
14   33.2415    46.7927      2.442
-------------------------当前TTI54----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.1533      3.544
2   69.6419    62.3209      3.399
3   37.108    70.2836      3.736
5   69.2315    63.2047      3.529
7   72.2496    68.8739      3.654
8   52.469    65.8183      3.489
10   51.1957    50.9731      2.655
11   33.6155    49.011      2.766
13   66.7533    49.8915      2.737
14   33.2415    47.6134      2.497
-------------------------当前TTI55----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.838      3.616
2   69.6419    61.4888      3.453
3   37.108    70.5552      3.809
5   69.2315    64.2842      3.603
7   72.2496    69.8865      3.733
8   52.469    63.7365      3.534
10   51.1957    50.4758      2.701
11   33.6155    49.8099      2.823
13   66.7533    49.3023      2.781
14   33.2415    47.9521      2.548
-------------------------当前TTI56----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.3542      3.687
2   69.6419    63.1399      3.531
3   37.108    68.4997      3.859
5   69.2315    63.9558      3.664
7   72.2496    68.9979      3.794
8   52.469    65.0628      3.611
10   51.1957    50.2282      2.749
11   33.6155    48.7289      2.862
13   66.7533    50.8721      2.846
14   33.2415    47.6569      2.593
-------------------------当前TTI57----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.2188      3.752
2   69.6419    63.9259      3.602
3   37.108    67.9497      3.922
5   69.2315    66.1602      3.75
7   72.2496    68.5981      3.859
8   52.469    63.2565      3.658
10   51.1957    50.3054      2.8
11   33.6155    48.556      2.909
13   66.7533    51.0849      2.899
14   33.2415    47.5912      2.64
-------------------------当前TTI58----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.7969      3.824
2   69.6419    62.8333      3.655
3   37.108    68.4547      3.995
5   69.2315    65.6442      3.811
7   72.2496    68.5383      3.927
8   52.469    63.9309      3.728
10   51.1957    49.4749      2.842
11   33.6155    49.3004      2.965
13   66.7533    51.9764      2.959
14   33.2415    46.7321      2.679
-------------------------当前TTI59----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.7172      3.89
2   69.6419    62.85      3.718
3   37.108    68.6092      4.065
5   69.2315    66.0798      3.881
7   72.2496    68.5845      3.996
8   52.469    63.4378      3.787
10   51.1957    49.4274      2.891
11   33.6155    46.4704      2.986
13   66.7533    52.7788      3.019
14   33.2415    48.8589      2.747
-------------------------当前TTI60----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.8455      3.958
2   69.6419    63.765      3.79
3   37.108    67.6483      4.124
5   69.2315    66.2718      3.949
7   72.2496    66.4261      4.043
8   52.469    65.494      3.871
10   51.1957    50.6847      2.953
11   33.6155    46.1234      3.029
13   66.7533    51.3009      3.057
14   33.2415    49.473      2.802
-------------------------当前TTI61----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.661      4.023
2   69.6419    63.1885      3.848
3   37.108    68.4835      4.2
5   69.2315    65.8446      4.011
7   72.2496    66.1835      4.107
8   52.469    66.2446      3.944
10   51.1957    50.8162      3.005
11   33.6155    47.0111      3.084
13   66.7533    51.2708      3.108
14   33.2415    48.5257      2.842
-------------------------当前TTI62----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.4949      4.088
2   69.6419    63.6697      3.916
3   37.108    68.2352      4.266
5   69.2315    66.7601      4.086
7   72.2496    66.0651      4.172
8   52.469    65.5201      4.003
10   51.1957    49.5346      3.043
11   33.6155    49.01      3.151
13   66.7533    49.0437      3.137
14   33.2415    50.0731      2.906
-------------------------当前TTI63----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.2454      4.142
2   69.6419    64.8027      3.991
3   37.108    68.4117      4.336
5   69.2315    66.9841      4.155
7   72.2496    63.6586      4.214
8   52.469    67.7681      4.091
10   51.1957    49.2811      3.09
11   33.6155    49.009      3.2
13   66.7533    49.1393      3.187
14   33.2415    50.1658      2.957
-------------------------当前TTI64----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.2209      4.207
2   69.6419    63.9224      4.047
3   37.108    69.2705      4.413
5   69.2315    66.0857      4.213
7   72.2496    63.5927      4.277
8   52.469    68.7913      4.169
10   51.1957    50.753      3.154
11   33.6155    48.3081      3.242
13   66.7533    47.3254      3.218
14   33.2415    51.2492      3.018
-------------------------当前TTI65----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.5988      4.266
2   69.6419    65.1302      4.123
3   37.108    68.6435      4.476
5   69.2315    65.9771      4.278
7   72.2496    65.5334      4.36
8   52.469    67.0122      4.22
10   51.1957    50.0777      3.198
11   33.6155    47.9773      3.287
13   66.7533    48.4929      3.277
14   33.2415    51.0243      3.067
-------------------------当前TTI66----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.0389      4.335
2   69.6419    64.1172      4.178
3   37.108    69.1792      4.55
5   69.2315    65.4794      4.339
7   72.2496    64.8801      4.419
8   52.469    68.111      4.298
10   51.1957    50.3699      3.251
11   33.6155    47.1796      3.327
13   66.7533    48.1436      3.322
14   33.2415    51.9219      3.127
-------------------------当前TTI67----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.435      4.394
2   69.6419    64.9055      4.25
3   37.108    69.0613      4.618
5   69.2315    64.8315      4.398
7   72.2496    64.8921      4.484
8   52.469    68.7999      4.373
10   51.1957    48.5329      3.283
11   33.6155    47.7616      3.38
13   66.7533    48.5292      3.374
14   33.2415    52.9297      3.189
-------------------------当前TTI68----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    63.0915      4.445
2   69.6419    67.415      4.34
3   37.108    67.9552      4.676
5   69.2315    63.8484      4.453
7   72.2496    66.1029      4.561
8   52.469    68.6199      4.44
10   51.1957    50.0796      3.347
11   33.6155    47.7854      3.428
13   66.7533    48.4763      3.422
14   33.2415    51.4367      3.227
-------------------------当前TTI69----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.3824      4.531
2   69.6419    66.2735      4.396
3   37.108    66.8597      4.733
5   69.2315    64.4636      4.523
7   72.2496    66.3926      4.63
8   52.469    67.6579      4.499
10   51.1957    48.9716      3.386
11   33.6155    47.6069      3.474
13   66.7533    50.2287      3.488
14   33.2415    50.993      3.274
-------------------------当前TTI70----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.0442      4.593
2   69.6419    66.8461      4.468
3   37.108    66.6737      4.798
5   69.2315    66.6172      4.609
7   72.2496    65.8533      4.691
8   52.469    65.9921      4.55
10   51.1957    48.0744      3.426
11   33.6155    49.3462      3.539
13   66.7533    49.4058      3.53
14   33.2415    50.9937      3.325
-------------------------当前TTI71----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.4398      4.652
2   69.6419    65.8615      4.525
3   37.108    68.3063      4.881
5   69.2315    65.9555      4.669
7   72.2496    65.268      4.751
8   52.469    67.2929      4.629
10   51.1957    49.567      3.489
11   33.6155    48.1116      3.576
13   66.7533    51.1652      3.597
14   33.2415    49.0943      3.357
-------------------------当前TTI72----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.5958      4.718
