-------------------------当前TTI0----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
115   38.0841    9.59904      0.118      54      0
116   25.5476    8.7408      0.107      51      525
117   45.3436    9.3572      0.09      44      0
118   63.0194    8.181      0.095      52      572
119   40.9664    4.0824      0.056      32      705
120   50.4194    8.6679      0.106      51      529
121   56.4618    7.91694      0.0848571      50      568
122   43.1793    9.236      0.103      47      0
123   14.1739    7.164      0.08      36      0
-------------------------当前BBU4----------------------------------
-------------------------当前BBU5----------------------------------
-------------------------当前BBU6----------------------------------
-------------------------当前BBU7----------------------------------
-------------------------当前BBU8----------------------------------
-------------------------当前TTI5----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
1   28.7767    4.5      0.05      45      900
2   48.7494    5.3946      0.074      46      767
3   25.9756    4.131      0.051      47      1023
4   60.3991    4.00221      0.061      48      1079
5   48.462    3.96      0.044      43      977
6   64.1752    4.13343      0.063      47      1023
7   50.5747    4.536      0.056      41      813
8   36.7283    4.9572      0.068      50      907
9   66.3931    4.95      0.055      33      600
10   35.837    5      0.05      50      0
11   23.5308    3.69      0.041      39      951
12   58.7541    4.00221      0.061      41      921
13   46.7273    3.83818      0.065      36      844
14   23.2691    4.59      0.051      39      764
15   45.192    4.5198      0.062      47      935
16   51.9747    4.2282      0.058      62      1319
17   17.5559    4.00221      0.061      42      944
18   1.56525    4.293      0.053      52      1090
19   34.3286    5.22      0.058      47      810
20   66.0824    3.9366      0.06      49      1120
21   47.4195    9.69723      0.1095      58      0
22   20.3843    4.212      0.052      31      662
23   72.3747    4.131      0.051      41      893
24   58.3483    4.455      0.055      39      787
25   51.1767    4.59      0.051      52      1019
26   8.16333    4.6656      0.064      42      810
27   65.8149    4.5      0.05      48      960
28   10.0225    5.04      0.056      63      1125
29   51.3869    10.2153      0.13      62      0
30   55.5828    5.0301      0.069      40      715
31   52.8766    4.0095      0.0235714      55      1234
32   51.1    9.85628      0.126      59      0
33   41.766    4.33026      0.066      27      561
34   39.2562    4.131      0.00728571      45      980
35   46.9366    10.1744      0.13      61      0
36   32.9    3.54294      0.06      40      1016
37   47.9334    4.293      0.053      54      1132
38   25.9    4.131      0      36      784
39   48.6236    5.2      0.052      52      0
40   50.8838    5.49      0.061      43      704
41   37.8583    4.9      0.049      49      0
42   19.8114    4.7      0.047      47      0
43   32.7283    3.48389      0.00842857      46      1188
